ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2021,2,95,1,1,3,0.00,69.14,283.50,202.86,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q095_v01_p03_part01.png
2021,2,116,1,1,11,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q116_v01_p11_part01.png
2021,2,119,1,1,12,0.00,69.14,283.50,442.49,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q119_v01_p12_part01.png
2021,2,128,1,1,15,0.00,69.14,283.50,462.72,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q128_v01_p15_part01.png
2021,2,145,1,1,19,0.00,69.14,283.50,280.91,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q145_v01_p19_part01.png
2021,2,149,1,1,20,0.00,69.14,283.50,176.50,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q149_v01_p20_part01.png
2021,2,156,1,1,23,0.00,69.14,283.50,410.46,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q156_v01_p23_part01.png
2021,2,170,1,1,28,0.00,69.14,283.50,380.14,questoes/banco_reais/enem_2021/dia2_questoes_vazias_imagens/images/q170_v01_p28_part01.png
